Company Name,Industry,Company Size
Vocode,SaaS,Founded: 2023
Ambience,Healthcare,Founded: 2020
Codeium,SaaS,Founded: 2021
LangChain,Developer Tools,Founded: 2022
Pika,Consumer,Founded: 2023
Squint,Augmented Reality,Founded: 2021
MindsDB,Data Science,Founded: 2017
Fathom,Healthcare,Founded: 2017
Golden,EdTech,Founded: 2017
Kumo,Artificial Intelligence,Founded: 2021
Abridge,Artificial Intelligence,Founded: 2018
Built Robotics,Hardware,Founded: 2016
Robust Intelligence,SaaS,Founded: 2019
Zuma,SaaS,Founded: 2020
Neural Magic,Artificial Intelligence,Founded: 2017
Centaur Labs,Data Science,Founded: 2017
"Bot, M.D.",Healthcare,Founded: 2018
Phiar Technologies,Data Science,Founded: 2017
